RepRapFirmware height map file v2 generated at 2022-10-05 16:33, min error -0.504, max error 0.373, mean -0.118, deviation 0.162
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,25.00,235.00,25.00,245.00,-1.00,20.00,20.00,11,12
 -0.452, -0.045, -0.251, -0.440, -0.029, -0.004, -0.009, -0.005, -0.050, -0.065, -0.387
 -0.122, -0.344, -0.067, -0.131, -0.149,  0.344, -0.092, -0.240, -0.126, -0.094,  0.016
 -0.144, -0.347, -0.117, -0.069, -0.205, -0.257,  0.204, -0.226, -0.017, -0.082,  0.039
 -0.334, -0.076, -0.120,  0.006,  0.091,  0.147, -0.219, -0.006, -0.201, -0.026, -0.077
 -0.404,  0.009, -0.149,  0.060,  0.107,  0.079, -0.288,  0.131, -0.301, -0.158, -0.319
 -0.504, -0.069, -0.009, -0.222, -0.197,  0.071, -0.227, -0.214, -0.136, -0.066,  0.373
  0.039, -0.041, -0.236, -0.050, -0.342, -0.006, -0.085, -0.102,  0.004, -0.234,  0.115
 -0.121, -0.102, -0.045, -0.301, -0.034,  0.175, -0.204, -0.081, -0.072,  0.169,  0.185
 -0.331, -0.207, -0.300,  0.003, -0.161,  0.062, -0.308, -0.129, -0.005, -0.110,  0.034
 -0.100, -0.267, -0.202, -0.060, -0.129, -0.440, -0.257,  0.005, -0.095, -0.291, -0.266
 -0.331, -0.309, -0.421, -0.320, -0.107,  0.010, -0.043, -0.153, -0.082, -0.202, -0.184
      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
